loss,auc,asr,nasr
0,69.317730,10.000000,100.000000,100.000000
0,1.415550,49.020000,7.150295,13.165266
1,1.151667,59.289997,11.315516,24.369749
2,1.077796,62.379997,6.351961,13.445378
3,1.133674,60.500000,7.104015,16.806723
4,1.007345,66.279999,4.628023,12.044818
5,0.850705,70.610001,5.426357,14.285714
6,0.807372,71.959999,2.961935,9.523809
7,0.837131,71.589996,1.318987,4.201681
8,0.814511,72.389999,4.894134,16.526611
9,0.882882,70.939995,12.044429,30.812326
10,0.915538,69.879997,1.735509,6.162465
11,0.995653,69.110001,16.961702,38.375351
12,1.197474,66.180000,3.794979,11.204482
13,0.903486,71.070000,9.672567,24.369749
14,1.380344,64.409996,14.451001,33.893559
15,1.233556,68.019997,6.861043,18.487396
16,0.999261,70.729996,5.056115,14.005603
17,1.459916,64.739998,4.049520,10.924370
18,1.388859,65.799995,5.657758,9.803922
19,1.274966,69.790001,19.923637,29.691877
20,1.254486,69.360001,16.441051,17.927172
21,1.640752,66.150002,15.133635,20.728292
22,1.370306,69.279999,38.967953,40.896358
23,1.375767,69.110001,36.642368,33.333336
24,1.456808,70.049995,16.973274,17.647058
25,1.406194,69.379997,24.019438,16.806723
26,1.446636,70.059998,36.653938,30.812326
27,1.588042,68.689995,42.670368,28.291317
28,1.337846,72.119995,50.491730,42.857143
29,1.410351,70.659996,27.039223,12.885155
30,1.300089,71.930000,34.363068,20.448179
31,1.273319,72.809998,59.909756,38.655464
32,1.375449,72.290001,62.108067,41.176472
33,1.346112,72.820000,60.245285,33.893559
34,1.327668,73.889999,48.652088,32.212887
35,1.340242,73.169998,57.051949,36.974792
36,1.392769,74.119995,61.749393,38.655464
37,1.508767,71.070000,59.446953,38.375351
38,1.460086,72.860001,62.790699,40.336136
39,1.493387,71.619995,71.884766,42.577030
40,1.535345,71.559998,73.331017,49.019608
41,1.705171,68.989998,61.367580,29.411766
42,1.507880,71.529999,55.027191,25.770309
43,1.352152,73.379997,61.934513,32.212887
44,1.370882,73.769997,69.906281,39.495800
45,1.430515,73.290001,75.332642,45.938377
46,1.427019,73.519997,72.127731,47.338936
47,1.369927,74.699997,67.407150,40.616249
48,1.329450,75.040001,73.192177,41.736694
49,1.329978,75.320000,72.671524,47.338936
50,1.315321,75.349998,72.532684,45.658264
51,1.316528,75.339996,73.284737,45.938377
52,1.326589,75.419998,73.678123,47.619049
53,1.322799,75.500000,73.007057,47.899162
54,1.315777,75.540001,74.291336,46.778713
55,1.302431,75.739998,72.521118,45.938377
56,1.320994,75.629997,72.648384,46.498600
57,1.306312,75.680000,72.671524,47.338936
58,1.288224,75.680000,69.871574,43.697479
59,1.297283,75.659996,71.607079,44.817928
60,1.295729,75.509995,72.509544,45.658264
61,1.300832,75.610001,71.919472,45.378151
62,1.284398,75.589996,71.236839,45.378151
63,1.289840,75.650002,71.884766,45.378151
64,1.279554,75.669998,71.514519,44.817928
65,1.283637,75.540001,71.456673,45.378151
66,1.290790,75.629997,73.805389,47.338936
67,1.285928,75.629997,73.539284,45.938377
68,1.276959,75.729996,72.798798,45.938377
69,1.262876,75.869995,72.046745,44.817928
70,1.267480,75.680000,73.331017,45.378151
71,1.286904,75.729996,73.863243,46.778713
72,1.273226,75.699997,72.960777,45.098042
73,1.279045,75.570000,74.071503,46.498600
74,1.290081,75.349998,75.101242,47.338936
75,1.266518,75.629997,72.717804,45.938377
76,1.250914,75.619995,73.261597,44.257706
77,1.256728,75.619995,72.764084,45.658264
78,1.242878,75.970001,72.116165,45.938377
79,1.253551,75.790001,72.949211,45.658264
80,1.244635,75.750000,72.035172,44.817928
81,1.254898,75.739998,72.995491,45.938377
82,1.243597,75.720001,72.150871,45.378151
83,1.248545,75.769997,73.169037,45.658264
84,1.240642,75.909996,72.266571,44.257706
85,1.244833,75.830002,71.988892,44.817928
86,1.241622,75.900002,72.659958,44.817928
87,1.237962,75.830002,72.764084,45.098042
88,1.246342,75.709999,72.752518,45.938377
89,1.242845,75.879997,72.636818,44.537815
90,1.256111,75.729996,73.712830,46.218487
91,1.247853,75.739998,73.458290,47.058826
92,1.258883,75.759995,74.522736,47.899162
93,1.259217,75.739998,74.245056,47.338936
94,1.237223,75.799995,72.312859,44.257706
95,1.259298,75.589996,74.059937,46.778713
96,1.245670,75.799995,71.745926,44.537815
97,1.235587,75.790001,72.486404,44.817928
98,1.242983,75.699997,72.706238,45.658264
99,1.255343,75.779999,73.342590,46.778713
