loss,auc,asr,nasr
0,57.300506,10.000000,0.000000,0.000000
0,1.415546,49.439999,18.014956,47.126438
1,1.061536,61.469997,3.999547,33.333332
2,1.178606,58.639999,8.690233,60.919540
3,1.312928,57.809998,3.976887,46.551723
4,1.148724,63.169998,2.515296,33.333332
5,1.051396,64.189995,2.266032,66.091957
6,0.924546,68.500000,3.093134,62.068966
7,0.913450,69.419998,1.892137,45.402298
8,0.885961,71.680000,11.749377,75.862068
9,1.227868,63.500000,9.845910,73.563217
10,1.068595,68.119995,8.633583,89.655174
11,1.089223,68.650002,8.203036,86.206894
12,1.262155,66.729996,5.506458,61.494251
13,1.059627,71.709999,2.300023,67.816093
14,1.096185,71.269997,7.364605,83.908043
15,1.189376,69.389999,6.775436,86.206894
16,1.094044,72.809998,11.386812,73.563217
17,1.493688,67.939995,11.160209,90.229881
18,1.213704,70.909996,9.381373,81.609192
19,1.129277,73.330002,6.242919,78.735634
20,1.581468,67.820000,9.052799,79.885056
21,1.177733,73.199997,9.109449,86.781609
22,1.429363,71.650002,10.593700,82.758621
23,1.386709,71.570000,5.574440,74.137932
24,1.881915,66.080002,2.130070,67.241379
25,1.936407,66.930000,29.730343,92.528732
26,1.430064,72.889999,5.699071,67.241379
27,1.557126,71.409996,14.989803,93.103447
28,1.343067,73.659996,4.883299,72.413795
29,2.291782,65.409996,13.392251,84.482758
30,1.388558,74.099998,9.234081,77.011497
31,1.572890,72.379997,10.593700,80.459770
32,1.462194,73.189995,10.095174,81.034485
33,1.513351,73.449997,10.253796,89.080460
34,1.426299,73.269997,12.372536,89.655174
35,1.580483,73.139999,10.695672,87.931038
36,1.426576,74.229996,9.494675,83.333336
37,1.389280,74.369995,6.299570,70.114944
38,1.599502,72.389999,4.101518,65.517242
39,1.462544,74.009995,10.435079,86.206894
40,1.915763,70.339996,6.412871,79.885056
41,1.446065,74.849998,6.877408,82.183907
42,1.374236,75.089996,5.993655,74.137932
43,1.643886,73.290001,13.550873,87.931038
44,1.405648,75.959999,7.885792,87.356323
45,1.329559,76.820000,7.239973,77.586205
46,1.335322,77.019997,7.761160,83.908043
47,1.312728,77.449997,6.866078,79.885056
48,1.317713,77.180000,6.990709,82.183907
49,1.304122,77.299995,7.409925,81.034485
50,1.295933,77.570000,7.387265,82.183907
51,1.289278,77.430000,6.752776,81.034485
52,1.297606,77.439995,7.092681,81.609192
53,1.279711,77.320000,7.149332,81.034485
54,1.275058,77.209999,6.820757,79.885056
55,1.353362,77.059998,8.644913,87.356323
56,1.268737,77.509995,6.662135,79.310341
57,1.291915,77.549995,7.364605,83.333336
58,1.272925,77.389999,7.104011,81.609192
59,1.271535,77.439995,7.364605,81.609192
60,1.266614,77.269997,7.002039,81.609192
61,1.263779,77.439995,6.866078,81.034485
62,1.278372,77.439995,7.138001,83.908043
63,1.272355,77.449997,7.500567,83.908043
64,1.272276,77.250000,7.489236,82.183907
65,1.260083,77.220001,7.330614,82.183907
66,1.254444,77.309998,7.115341,81.609192
67,1.255083,77.199997,7.171992,82.183907
68,1.261931,77.330002,7.228643,84.482758
69,1.263750,77.209999,7.987764,84.482758
70,1.235955,77.379997,7.047360,81.609192
71,1.227205,77.459999,6.639474,79.885056
72,1.241727,77.339996,7.953773,83.908043
73,1.234715,77.250000,7.285294,82.183907
74,1.252242,77.269997,8.520281,85.057472
75,1.229375,77.500000,7.375935,83.908043
76,1.215414,77.320000,6.582824,81.034485
77,1.220044,77.180000,6.934059,81.034485
78,1.217350,77.379997,6.741446,81.034485
79,1.212729,77.400002,7.092681,81.609192
80,1.216624,77.290001,6.594154,81.034485
81,1.215084,77.299995,7.466576,81.609192
82,1.231352,77.299995,7.885792,84.482758
83,1.219262,77.279999,7.409925,81.609192
84,1.218409,77.419998,7.081351,81.609192
85,1.200423,77.459999,6.288239,79.310341
86,1.207695,77.419998,6.684795,81.034485
87,1.205400,77.369995,6.752776,80.459770
88,1.211110,77.320000,7.149332,81.034485
89,1.234356,77.220001,8.180376,84.482758
90,1.212810,77.360001,7.047360,81.609192
91,1.206299,77.369995,6.786767,80.459770
92,1.223321,77.159996,7.296624,82.758621
93,1.218845,77.259995,6.979379,81.609192
94,1.218913,77.239998,7.307954,83.333336
95,1.219697,77.169998,7.251303,81.609192
96,1.215429,77.159996,7.613868,82.758621
97,1.217004,77.220001,7.273963,83.908043
98,1.207808,77.229996,6.718786,81.034485
99,1.224642,77.269997,8.282348,82.758621
