loss,auc,asr,nasr
0,15.923326,9.990000,0.000000,0.000000
0,1.391991,50.719997,9.020889,45.707657
1,1.209472,57.289997,4.516280,35.266819
2,1.203761,58.259998,6.068386,68.445473
3,1.021024,66.099998,10.748045,75.870064
4,1.073237,65.389999,16.221262,78.654289
5,1.025632,67.169998,14.902555,73.781898
6,1.038294,69.099998,31.578947,84.222733
7,1.066188,70.229996,32.349167,87.703011
8,1.292469,68.169998,52.071419,96.751740
9,1.025019,72.139999,37.507294,83.062645
10,1.367333,67.909996,53.681877,93.503479
11,1.168224,69.489998,41.288364,80.974472
12,1.356035,68.389999,46.878281,93.039436
13,1.387459,69.169998,55.093945,90.023201
14,1.396104,67.720001,50.717705,92.343384
15,1.134180,72.360001,37.729023,76.798141
16,1.755734,68.189995,70.183220,97.215775
17,1.768342,65.119995,62.084259,92.575401
18,1.557103,69.119995,54.160347,89.095123
19,1.457692,69.500000,41.895203,81.206497
20,1.776867,69.470001,70.019836,96.287697
21,1.550403,70.040001,52.526550,82.366585
22,1.635088,71.369995,53.658535,88.167053
23,1.490374,71.699997,50.110867,82.134567
24,1.561585,71.559998,54.242035,87.703011
25,1.572163,71.290001,47.345081,80.974472
26,1.868642,69.000000,56.599369,92.343384
27,2.047771,67.169998,58.069786,90.023201
28,2.247479,67.459999,63.262924,95.591644
29,1.713861,71.250000,54.370403,87.703011
30,1.682256,70.389999,48.477070,81.902550
31,1.959506,70.360001,65.561913,95.823662
32,1.780194,71.070000,57.532967,92.343384
33,1.967156,68.449997,54.580463,88.863106
34,1.669546,71.779999,49.177265,82.366585
35,1.998468,70.779999,58.268177,90.487236
36,1.617027,72.669998,52.631580,87.006958
37,1.704467,71.949997,43.984127,81.902550
38,2.229279,71.059998,66.262108,96.287697
39,2.017680,70.759995,61.570778,94.895592
40,1.900741,71.430000,58.875015,90.255219
41,2.157217,69.849998,60.695530,94.431549
42,2.103652,67.169998,44.415916,75.406029
43,2.268531,69.369995,62.119267,90.487236
44,1.877212,70.629997,53.075039,86.774940
45,1.900365,70.629997,61.664139,92.807419
46,1.813379,71.739998,45.781303,81.438515
47,1.940652,71.570000,62.492706,94.199532
48,1.774077,72.970001,54.907223,89.327141
49,1.723408,73.080002,52.783287,89.095123
50,1.908115,71.729996,56.937798,92.343384
51,1.815881,72.729996,52.619907,87.238976
52,1.755393,73.759995,56.447659,88.863106
53,1.743120,74.599998,56.576031,90.487236
54,1.720379,74.629997,54.755512,89.095123
55,1.739313,74.629997,56.529350,90.023201
56,1.739633,74.599998,58.326527,91.415314
57,1.869095,74.180000,61.454079,93.503479
58,1.741873,74.529999,55.677441,91.183289
59,1.728740,74.680000,56.015873,90.951271
60,1.740203,74.610001,56.622711,91.647331
61,1.731959,74.519997,58.023106,91.647331
62,1.710303,74.659996,57.299568,90.255219
63,1.716511,74.650002,57.637997,91.415314
64,1.711156,74.529999,57.346249,91.183289
65,1.683504,74.599998,56.646049,90.719254
66,1.696006,74.540001,56.342632,91.415314
67,1.672446,74.669998,56.004200,90.487236
68,1.663539,74.650002,56.611038,90.255219
69,1.633351,74.639999,53.985294,88.863106
70,1.676399,74.639999,56.902790,90.719254
71,1.690046,74.489998,57.929749,91.647331
72,1.658696,74.540001,55.992531,90.487236
73,1.653344,74.570000,56.132572,90.487236
74,1.605310,74.659996,53.506828,88.631088
75,1.632378,74.519997,55.339012,90.487236
76,1.650151,74.360001,57.066170,91.183289
77,1.628695,74.549995,56.844440,91.183289
78,1.606471,74.639999,55.082272,89.327141
79,1.624139,74.470001,56.132572,90.719254
80,1.614741,74.610001,55.350681,90.255219
81,1.606649,74.619995,55.233982,90.023201
82,1.601642,74.599998,55.128952,90.255219
83,1.626944,74.549995,56.342632,90.255219
84,1.621891,74.400002,56.167580,91.183289
85,1.616972,74.489998,56.214260,90.719254
86,1.624547,74.419998,56.155910,90.951271
87,1.598044,74.580002,55.350681,89.559158
88,1.620010,74.559998,55.980862,90.951271
89,1.618447,74.470001,55.689114,90.719254
90,1.644775,74.519997,57.754696,91.183289
91,1.612932,74.509995,55.934181,90.487236
92,1.631784,74.459999,57.019489,90.951271
93,1.622041,74.439995,56.459332,91.183289
94,1.630433,74.419998,56.844440,91.183289
95,1.609380,74.529999,55.537403,90.487236
96,1.580068,74.589996,54.533783,89.095123
97,1.635947,74.459999,57.521297,91.415314
98,1.591603,74.580002,55.117283,89.559158
99,1.594001,74.589996,55.444042,89.791183
