loss,auc,asr,nasr
0,57.300506,10.000000,0.000000,0.000000
0,1.461085,49.199997,10.043518,47.388058
1,1.107229,60.879997,4.317453,42.164177
2,1.263788,56.039997,12.620248,69.402985
3,1.085735,63.279999,13.628035,75.746269
4,1.212980,62.489998,2.954650,46.641788
5,1.001659,67.360001,3.137884,77.238808
6,0.937767,68.949997,2.175905,65.671638
7,0.879854,71.239998,3.286761,75.373131
8,0.956773,71.040001,12.437014,82.089554
9,1.023261,67.379997,4.134219,57.089550
10,1.155528,67.889999,14.624371,93.656715
11,1.430548,63.879997,24.312872,95.149254
12,1.247272,67.239998,6.321576,86.194031
13,1.371845,65.540001,10.135136,92.537308
14,1.730593,61.980000,6.207055,84.701492
15,1.166967,71.369995,6.504810,82.462685
16,1.181274,71.470001,9.493816,76.865669
17,1.289402,69.080002,3.046267,72.761192
18,1.510656,69.629997,17.624828,92.910446
19,1.257914,72.049995,10.180943,88.805969
20,1.518092,68.129997,5.588640,76.492538
21,1.398445,71.650002,5.726065,73.134323
22,1.877128,64.769997,4.225836,72.014923
23,1.332373,72.400002,8.165369,80.970146
24,1.422897,72.150002,9.035730,84.328354
25,1.542009,71.029999,10.295465,87.313431
26,1.445030,72.680000,3.469995,67.910446
27,1.980820,67.009995,10.627577,85.447762
28,1.411131,73.779999,8.486029,84.328354
29,1.693134,71.599998,10.959689,84.328354
30,1.866362,69.639999,6.733852,82.089554
31,1.548061,73.739998,9.367843,83.955223
32,1.439871,73.290001,6.424645,78.731339
33,1.501509,73.959999,6.241411,78.731339
34,1.853441,70.299995,15.448924,89.925369
35,1.465932,73.949997,9.138800,85.447762
36,1.700031,72.299995,16.639946,91.417908
37,1.625435,73.610001,13.662392,87.313431
38,1.469679,75.199997,9.631242,82.089554
39,1.462829,75.769997,12.414109,86.567162
40,1.475541,75.979996,9.344938,83.955223
41,1.453140,76.269997,8.234081,82.462685
42,1.453027,76.209999,9.218965,83.955223
43,1.422317,76.680000,8.417315,80.597015
44,1.415796,76.949997,8.863949,83.955223
45,1.438598,76.879997,9.631242,84.328354
46,1.429586,76.830002,9.070087,83.208954
47,1.431730,76.900002,9.596885,83.582085
48,1.402567,77.089996,8.967018,83.208954
49,1.421532,76.919998,9.562529,83.582085
50,1.403711,76.979996,9.276225,83.208954
51,1.391743,76.970001,8.886853,82.835815
52,1.412222,76.979996,9.104444,83.582085
53,1.390433,77.150002,9.184608,82.835815
54,1.390108,77.159996,8.978470,83.208954
55,1.407523,76.939995,9.654146,84.328354
56,1.370811,77.029999,8.508933,82.835815
57,1.401126,77.009995,9.413651,83.582085
58,1.382090,77.029999,8.944114,82.089554
59,1.350019,77.239998,8.566194,78.358208
60,1.399937,76.949997,9.951901,84.328354
61,1.364764,77.070000,8.589098,82.089554
62,1.389115,77.000000,9.333487,83.955223
63,1.383639,77.099998,9.092992,83.582085
64,1.365431,76.900002,9.230417,82.462685
65,1.381078,76.729996,9.081539,83.208954
66,1.345289,76.979996,8.783784,83.208954
67,1.353612,77.049995,8.863949,82.835815
68,1.359124,76.939995,8.898305,82.835815
69,1.377196,76.959999,9.883188,85.074623
70,1.340683,77.040001,9.001374,82.835815
71,1.328646,77.110001,8.634906,81.716415
72,1.352374,77.019997,10.043518,84.328354
73,1.352074,76.860001,9.379294,83.955223
74,1.371682,76.889999,10.387082,85.447762
75,1.357051,76.939995,9.367843,84.328354
76,1.313883,77.129997,8.520385,81.716415
77,1.341839,76.949997,9.241869,83.955223
78,1.308994,77.169998,8.612002,82.462685
79,1.329506,76.900002,9.241869,83.955223
80,1.328335,76.979996,8.921209,83.582085
81,1.332264,76.909996,9.493816,83.955223
82,1.347389,77.000000,10.180943,85.074623
83,1.335651,77.049995,9.356390,83.208954
84,1.335999,77.029999,9.470912,84.328354
85,1.307534,77.229996,8.360055,81.716415
86,1.324272,77.049995,9.127348,83.208954
87,1.311935,77.080002,8.967018,83.208954
88,1.325840,76.989998,9.218965,83.208954
89,1.360222,76.860001,10.398534,85.447762
90,1.329426,76.979996,9.390747,83.582085
91,1.318962,77.000000,9.138800,83.582085
92,1.331384,76.989998,9.138800,83.955223
93,1.329303,76.930000,9.104444,83.582085
94,1.332099,77.029999,9.241869,83.955223
95,1.329679,76.949997,9.253322,83.582085
96,1.332356,76.979996,9.596885,83.955223
97,1.327729,77.129997,9.379294,83.955223
98,1.310779,77.040001,8.623454,82.462685
99,1.331248,77.009995,9.780119,83.955223
