loss,auc,asr,nasr
0,69.317730,10.000000,100.000000,100.000000
0,1.483728,48.139999,9.347649,37.587006
1,1.197929,58.410000,7.970592,60.788860
2,1.227742,59.049999,17.434940,82.830627
3,1.249090,61.109997,20.994282,90.719254
4,1.276599,59.829998,22.383009,87.006958
5,1.423750,58.209999,15.030926,81.206497
6,1.059502,69.099998,30.318590,87.470993
7,1.066396,68.290001,13.467149,74.709976
8,1.068415,69.739998,28.626444,83.526680
9,1.098522,68.409996,21.379391,77.958237
10,1.220448,68.180000,34.076321,86.078880
11,1.490334,67.139999,50.881084,96.055679
12,1.471089,65.250000,28.077955,81.206497
13,1.455420,66.650002,39.164429,90.023201
14,1.327528,69.009995,41.918545,83.758698
15,1.682581,65.070000,40.471466,91.647331
16,1.629729,65.449997,33.516163,85.614845
17,1.810062,63.910000,34.321392,81.670532
18,1.569771,67.250000,30.983778,76.798141
19,1.475647,70.279999,44.042480,83.990715
20,1.533950,69.830002,48.675457,88.167053
21,1.664363,69.330002,39.817947,81.206497
22,1.615725,69.150002,33.282764,78.190254
23,1.576168,70.430000,33.889603,83.062645
24,1.706978,70.199997,49.807446,88.863106
25,1.562933,70.489998,50.565994,80.742455
26,1.856145,68.869995,49.060566,89.095123
27,1.834536,69.180000,41.440075,80.974472
28,1.708257,69.889999,42.175282,80.742455
29,1.788670,70.639999,50.787724,86.310905
30,1.880746,70.269997,51.697983,91.415314
31,2.195542,64.739998,34.741508,83.294662
32,1.728749,71.599998,42.688763,80.510437
33,1.919925,70.650002,50.495975,87.703011
34,1.813172,72.259995,49.900806,87.238976
35,1.865570,71.320000,55.560741,89.791183
36,2.020637,70.949997,55.397362,92.111366
37,1.760160,72.320000,46.819931,87.238976
38,1.718534,73.470001,44.941067,83.294662
39,1.775909,73.869995,53.436806,91.879349
40,1.661476,74.279999,48.208660,85.614845
41,1.745834,74.589996,52.596569,88.631088
42,1.712397,74.680000,52.024742,88.399071
43,1.694876,74.629997,50.752712,87.703011
44,1.718298,74.549995,51.231182,88.167053
45,1.650303,74.879997,48.161980,86.542923
46,1.694056,74.599998,51.266193,88.167053
47,1.656515,74.599998,48.453728,86.078880
48,1.708986,74.549995,51.056133,89.095123
49,1.662925,74.820000,49.900806,87.703011
50,1.682428,74.549995,50.997784,88.167053
51,1.659796,74.739998,49.422337,87.703011
52,1.656006,74.709999,49.550705,87.703011
53,1.675639,74.629997,51.149494,88.631088
54,1.630697,74.930000,48.418720,85.382828
55,1.659883,74.779999,50.390945,88.167053
56,1.655339,74.930000,50.904423,88.167053
57,1.642831,74.939995,50.530983,87.238976
58,1.683245,74.599998,51.651302,88.399071
59,1.653368,74.650002,50.507645,88.399071
60,1.667407,74.659996,51.838020,88.631088
61,1.680175,74.639999,54.230366,89.327141
62,1.629084,74.820000,49.924145,87.470993
63,1.651329,74.729996,51.149494,88.167053
64,1.626060,74.629997,51.161163,88.399071
65,1.709914,74.320000,55.607422,91.183289
66,1.631001,74.489998,52.188122,88.399071
67,1.617652,74.799995,51.312874,88.167053
68,1.625810,74.659996,50.776054,88.863106
69,1.605863,74.790001,50.262573,87.935028
70,1.613482,74.809998,51.849689,88.631088
71,1.613923,74.629997,51.627960,88.631088
72,1.597223,74.769997,50.460964,88.167053
73,1.608739,74.750000,51.989731,87.935028
74,1.587776,74.639999,50.846073,87.935028
75,1.566888,74.739998,48.617107,87.703011
76,1.566361,74.820000,49.258957,87.703011
77,1.623149,74.519997,53.308437,89.791183
78,1.570326,74.669998,49.912476,87.935028
79,1.588669,74.470001,51.289532,87.935028
80,1.583743,74.479996,51.219513,87.935028
81,1.597578,74.619995,52.176449,88.399071
82,1.542247,74.799995,48.780487,87.470993
83,1.596237,74.629997,52.071419,88.631088
84,1.572701,74.729996,50.671024,87.935028
85,1.586105,74.720001,51.172832,88.167053
86,1.586348,74.669998,51.476254,88.167053
87,1.560467,74.759995,50.647682,88.167053
88,1.572068,74.680000,50.636013,87.703011
89,1.553585,74.709999,49.293968,87.006958
90,1.581568,74.509995,51.406231,88.167053
91,1.551481,74.650002,49.714085,87.470993
92,1.580002,74.659996,51.149494,87.935028
93,1.566731,74.610001,50.939434,87.935028
94,1.591090,74.570000,52.211460,88.631088
95,1.589847,74.430000,52.094761,88.399071
96,1.599727,74.529999,52.269810,88.863106
97,1.557186,74.799995,49.924145,87.470993
98,1.557964,74.699997,50.192554,87.470993
99,1.554598,74.709999,50.169216,87.703011
