loss,auc,asr,nasr
0,15.923326,9.990000,0.000000,0.000000
0,1.328625,52.430000,7.512598,32.835819
1,1.148317,59.109997,4.844251,27.611940
2,1.079731,61.049999,1.797984,35.447762
3,1.113818,63.139999,14.784700,80.223877
4,0.931903,66.799995,4.718277,62.313431
5,0.921884,68.979996,6.642236,69.029846
6,1.004597,67.709999,11.921668,83.208954
7,0.902612,71.839996,13.410444,85.447762
8,0.969727,70.489998,14.223546,86.194031
9,1.084210,68.860001,12.883647,82.835815
10,1.312996,64.489998,20.682547,83.208954
11,0.922626,72.639999,11.738434,73.507462
12,1.222704,67.629997,16.525423,81.343285
13,1.325855,66.949997,23.316538,85.447762
14,1.185778,67.860001,4.351810,54.850746
15,1.138780,72.000000,24.599176,90.671638
16,1.206223,70.199997,22.881357,81.343285
17,1.187780,72.889999,27.805773,90.298508
18,1.618883,66.959999,17.670637,80.223877
19,1.281910,71.070000,18.747137,78.731339
20,1.500837,68.680000,16.662849,82.089554
21,1.274676,72.509995,8.577645,63.432835
22,1.589017,69.779999,16.937700,78.358208
23,1.398601,72.129997,19.296839,81.716415
24,1.521896,71.580002,21.598719,82.835815
25,1.627325,69.180000,17.407238,72.014923
26,1.419186,72.150002,11.268896,69.402985
27,1.985050,66.189995,22.972973,73.880592
28,1.451499,72.430000,16.868988,74.626862
29,1.884425,65.419998,12.723317,77.985069
30,1.480959,71.239998,5.554283,64.925369
31,1.823336,70.110001,21.197893,82.835815
32,1.576861,73.259995,23.087494,86.567162
33,1.455418,73.189995,16.536877,80.970146
34,1.530510,73.559998,24.415941,80.597015
35,1.699766,71.570000,23.041687,79.850746
36,1.453609,74.439995,19.732021,77.611938
37,1.692332,71.629997,26.374256,84.328354
38,1.601544,74.139999,22.995878,85.447762
39,1.539696,73.610001,19.640404,79.477608
40,1.543124,73.180000,23.064590,78.358208
41,1.724580,72.139999,25.710033,82.089554
42,1.572593,72.400002,14.967935,72.761192
43,1.633016,73.699997,30.405405,86.940300
44,1.669869,73.019997,26.156666,87.313431
45,1.656841,72.099998,20.041227,77.985069
46,1.692346,72.830002,35.100780,89.179100
47,1.606377,72.909996,33.600552,86.567162
48,1.548205,73.379997,24.003666,81.716415
49,1.696555,73.619995,31.584976,89.552238
50,1.429763,74.119995,12.528630,58.208954
51,1.530992,74.299995,28.733395,85.447762
52,1.504435,74.659996,19.709116,78.358208
53,1.480479,75.570000,25.091618,83.582085
54,1.450574,75.739998,23.602840,79.850746
55,1.496297,76.049995,26.248283,84.328354
56,1.471519,76.040001,25.309208,84.328354
57,1.470587,76.320000,25.458086,84.328354
58,1.472039,76.229996,26.076500,84.701492
59,1.454637,76.250000,22.217133,83.582085
60,1.444924,76.680000,23.557032,83.208954
61,1.458246,76.320000,25.183235,84.328354
62,1.448091,76.489998,24.679340,83.955223
63,1.451136,76.409996,25.801649,85.447762
64,1.452237,76.339996,25.183235,83.582085
65,1.429806,76.559998,24.003666,83.208954
66,1.428100,76.419998,24.576271,83.208954
67,1.435646,76.489998,25.011452,83.955223
68,1.423568,76.419998,24.885479,83.208954
69,1.411860,76.439995,23.660101,82.835815
70,1.413035,76.419998,24.118187,83.208954
71,1.453134,76.099998,26.740725,86.940300
72,1.418093,76.470001,25.320660,83.582085
73,1.398152,76.629997,24.576271,83.208954
74,1.390942,76.549995,23.053139,82.835815
75,1.402173,76.459999,24.301420,82.462685
76,1.395859,76.500000,24.038021,82.835815
77,1.393801,76.379997,25.103069,83.208954
78,1.386972,76.529999,24.919836,82.462685
79,1.392965,76.379997,25.480989,83.955223
80,1.391288,76.400002,25.297756,83.208954
81,1.373847,76.459999,24.587723,82.462685
82,1.377407,76.529999,24.370132,83.208954
83,1.383299,76.430000,25.240496,83.208954
84,1.380221,76.400002,24.690792,82.835815
85,1.386658,76.330002,25.515347,83.955223
86,1.383464,76.349998,25.022905,83.582085
87,1.372731,76.360001,24.530462,82.462685
88,1.376928,76.470001,24.988548,83.582085
89,1.376062,76.559998,24.530462,83.208954
90,1.395325,76.229996,25.881815,84.328354
91,1.377203,76.349998,24.152542,82.462685
92,1.382405,76.430000,25.297756,82.835815
93,1.376977,76.470001,24.862576,83.582085
94,1.393638,76.309998,25.858910,83.955223
95,1.367340,76.619995,23.236372,82.462685
96,1.365762,76.439995,23.808979,82.835815
97,1.401087,76.320000,26.202475,84.701492
98,1.370790,76.589996,24.175447,82.462685
99,1.365279,76.599998,23.579937,82.462685
