loss,auc,asr,nasr
0,2.387792,10.389999,10.981444,8.584686
0,1.916249,29.019999,12.696931,22.505800
1,1.765564,34.919998,28.591434,39.443153
2,1.592473,41.849998,17.983429,30.162413
3,1.620654,40.299999,24.075155,66.125290
4,1.483486,45.860001,15.334345,53.364265
5,1.517933,45.000000,17.855059,67.517403
6,1.362008,50.070000,4.738009,23.433874
7,1.338179,51.359997,13.362120,61.484917
8,1.359588,51.029999,21.916210,65.661247
9,1.295706,52.419998,15.556074,61.252899
10,1.325083,52.759998,18.496908,74.013916
11,1.229706,55.689999,14.470767,48.491879
12,1.273918,55.230000,21.717819,70.765656
13,1.201067,57.099998,11.623293,54.756378
14,1.218646,55.789997,21.379391,70.997681
15,1.189121,58.219997,24.868713,65.197212
16,1.148944,59.519997,22.511377,66.125290
17,1.217172,57.959999,22.114599,75.174011
18,1.138735,59.359997,21.099312,58.700695
19,1.101923,61.829998,15.976193,50.812065
20,1.093884,61.439999,25.685612,63.341064
21,1.111399,61.359997,20.072353,55.452435
22,1.111000,61.129997,27.856226,73.317863
23,1.129012,60.619999,38.359203,69.837585
24,1.095378,61.969997,24.401915,64.733177
25,1.079598,61.730000,24.798693,68.677490
26,1.086261,62.079998,20.795893,72.621811
27,1.078469,62.329998,29.046564,71.693733
28,1.071273,62.730000,16.618042,56.844547
29,1.089294,62.099998,27.786205,60.324825
30,1.105770,61.680000,26.969309,70.533638
31,1.076788,62.719997,15.929513,58.004639
32,1.084615,62.169998,29.653402,68.445473
33,1.098744,62.359997,17.481619,56.380508
34,1.095193,62.320000,21.577780,60.788860
35,1.059282,63.519997,16.758081,53.364265
36,1.164117,61.129997,28.323025,73.317863
37,1.086892,63.639999,25.020422,64.733177
38,1.108724,62.500000,34.099663,76.566124
39,1.076499,63.509998,24.483604,66.589325
40,1.052607,64.709999,16.781422,43.155453
41,1.100700,63.379997,25.463881,68.677490
42,1.094337,63.329998,22.954838,62.645008
43,1.123769,62.840000,25.067102,66.589325
44,1.093057,63.289997,20.165714,65.197212
45,1.110503,63.239998,22.301319,65.429230
46,1.125343,62.750000,24.413584,70.765656
47,1.075701,63.820000,17.680010,49.419952
48,1.155254,62.639999,22.896488,59.164730
49,1.121399,63.340000,22.184620,61.252899
50,1.116635,63.169998,23.001516,61.484917
51,1.150091,63.019997,33.049362,70.533638
52,1.201295,60.989998,20.177383,68.677490
53,1.170959,63.049999,23.631695,70.765656
54,1.141385,62.789997,29.314972,66.821342
55,1.176591,62.910000,18.975376,68.213455
56,1.182417,62.579998,19.932314,51.276100
57,1.201153,62.109997,27.109348,76.566124
58,1.157581,62.799999,20.025675,53.828304
59,1.224564,61.199997,25.919010,69.605568
60,1.207922,62.509998,26.257441,73.549881
61,1.219711,62.660000,16.839771,61.948956
62,1.243845,62.149998,21.134321,69.141525
63,1.231199,62.590000,22.021240,62.645008
64,1.195201,63.399998,16.804762,57.308582
65,1.211253,62.959999,15.159295,45.243618
66,1.190724,62.889999,19.407166,56.844547
67,1.258850,61.139999,21.379391,69.605568
68,1.210876,62.829998,16.419653,53.132248
69,1.206075,62.189999,18.776987,57.076565
70,1.278541,61.579998,24.728674,71.229698
71,1.266203,61.279999,24.471933,68.213455
72,1.206262,63.070000,14.949236,56.612526
73,1.289359,61.169998,27.412767,73.085846
74,1.286610,61.739998,23.164896,66.125290
75,1.250584,62.199997,14.505776,59.860786
76,1.281973,61.119999,22.418018,65.661247
77,1.326942,60.709999,24.787024,60.788860
78,1.288241,61.799999,30.260241,73.781898
79,1.296204,61.849998,21.752831,65.661247
80,1.280612,63.429996,19.267126,58.932713
81,1.335045,62.869999,20.037344,63.805103
82,1.368233,62.629997,21.286032,61.716934
83,1.417809,62.539997,21.519430,64.733177
84,1.442270,62.459999,21.636129,62.645008
85,1.460247,62.539997,20.725872,60.788860
