loss,auc,asr,nasr
0,15.923326,9.990000,0.000000,0.000000
0,1.392923,50.619999,9.707277,20.728292
1,1.176989,57.349998,2.406572,6.442577
2,1.078181,61.160000,0.682633,1.960784
3,1.103694,63.099998,8.804813,20.168068
4,0.884244,68.889999,5.391646,13.445378
5,0.883008,69.360001,3.297466,7.843138
6,0.915953,68.750000,2.510702,7.563025
7,0.825105,72.389999,6.629642,21.008404
8,0.771500,74.299995,5.414787,10.084034
9,0.905129,70.110001,1.966910,4.201681
10,1.103492,67.439995,5.761889,15.126051
11,0.927990,71.259995,14.231170,32.773109
12,1.037508,68.610001,13.675807,26.610645
13,1.064660,68.290001,20.490570,38.095238
14,0.946315,71.479996,10.852714,17.366947
15,0.943726,72.680000,20.097189,24.649860
16,1.099281,69.509995,38.192757,36.414566
17,1.127440,70.970001,33.078793,35.574230
18,1.610314,65.839996,22.561611,16.806723
19,1.349207,67.820000,67.349304,53.501400
20,1.322702,68.799995,49.485134,33.893559
21,1.187685,71.610001,60.025455,41.456585
22,1.405722,69.459999,56.288326,39.495800
23,1.226854,71.809998,58.741177,33.893559
24,1.171773,72.259995,72.914497,50.980392
25,1.432265,69.470001,72.382278,43.697479
26,1.280715,72.549995,79.763969,55.462185
27,1.570016,68.879997,79.335876,60.504204
28,1.297897,71.599998,81.325928,56.582634
29,1.486378,69.229996,68.101357,36.134453
30,1.227661,73.509995,63.693161,28.291317
31,1.349918,72.400002,58.694897,24.089636
32,1.340689,73.239998,75.922714,45.938377
33,1.425234,72.570000,82.587067,49.019608
34,1.627488,69.839996,83.952332,54.061626
35,1.561156,71.419998,88.626633,64.705887
36,1.401226,72.979996,87.215088,55.742298
37,1.412715,72.930000,78.259865,44.537815
38,1.297619,74.309998,87.446487,51.260506
39,1.393026,73.939995,84.588684,56.582634
40,1.559828,71.650002,88.591927,63.305325
41,1.631602,70.849998,90.558838,61.344540
42,1.861181,68.250000,80.354042,42.577030
43,1.393470,73.549995,74.522736,40.896358
44,1.435662,73.180000,88.892746,60.224091
45,1.503600,71.830002,91.773689,59.103642
46,1.365487,74.589996,75.737595,38.095238
47,1.497761,73.070000,88.244820,54.621849
48,1.369934,74.129997,90.581978,57.142857
49,1.367406,74.879997,90.084465,56.582634
50,1.355588,75.199997,89.436539,57.142857
51,1.309226,76.019997,86.173782,51.540619
52,1.362694,75.290001,90.188591,59.383755
53,1.310334,75.949997,88.603493,53.781513
54,1.306877,76.000000,89.239845,54.061626
55,1.306851,75.979996,89.147285,55.462185
56,1.304712,76.049995,89.575378,56.862747
57,1.305725,75.989998,89.401833,56.302521
58,1.285549,76.080002,88.753906,53.221291
59,1.305035,75.919998,89.459679,54.621849
60,1.290056,75.959999,88.753906,53.501400
61,1.297554,75.900002,89.818352,55.182076
62,1.282458,76.110001,89.124146,53.501400
63,1.296185,75.919998,89.621658,56.302521
64,1.288253,76.070000,89.575378,56.302521
65,1.294522,75.949997,89.575378,54.901962
66,1.269692,76.080002,88.684486,53.781513
67,1.274806,75.959999,89.286125,54.341740
68,1.299733,75.689995,90.547264,58.543419
69,1.278423,75.970001,89.251419,54.901962
70,1.263778,76.040001,89.459679,55.182076
71,1.267158,75.979996,89.320839,55.462185
72,1.286097,75.659996,90.454704,57.703083
73,1.268188,75.919998,89.783638,56.862747
74,1.255333,75.930000,88.927460,54.341740
75,1.265388,75.989998,89.459679,55.742298
76,1.263662,75.820000,89.829918,56.302521
77,1.232857,75.919998,88.279533,53.501400
78,1.256584,75.720001,89.806778,55.742298
79,1.239159,76.019997,88.800186,54.061626
80,1.248647,75.790001,89.494392,55.182076
81,1.254518,75.939995,89.760498,56.862747
82,1.239777,75.860001,89.112579,52.941177
83,1.237595,76.029999,89.205139,54.621849
84,1.235668,75.979996,88.834900,52.941177
85,1.251106,75.739998,89.841492,56.862747
86,1.248442,75.799995,89.390259,56.582634
87,1.261348,75.779999,90.234871,57.703083
88,1.247550,75.659996,89.841492,55.742298
89,1.239147,75.939995,89.517532,55.742298
90,1.263078,75.769997,90.315865,58.543419
91,1.253271,75.820000,89.887772,56.582634
92,1.247234,75.680000,89.864632,56.862747
93,1.244750,75.949997,89.760498,56.302521
94,1.251074,75.769997,89.899338,57.983196
95,1.239745,75.949997,89.309265,55.182076
96,1.234766,75.919998,89.158859,54.621849
97,1.244148,75.949997,89.853058,56.862747
98,1.239013,76.189995,89.679512,54.901962
99,1.221851,75.970001,88.591927,52.380955
