loss,auc,asr,nasr
0,57.300506,10.000000,0.000000,0.000000
0,1.454300,48.809998,24.098495,72.389786
1,1.125568,60.279999,3.839421,46.635731
2,1.625685,49.980000,37.448944,94.431549
3,1.320755,58.910000,8.822499,81.438515
4,1.127186,65.169998,11.541603,87.006958
5,0.914656,68.500000,1.540437,48.027840
6,1.146241,64.089996,8.775820,80.046402
7,1.301476,64.439995,26.875948,91.415314
8,1.125688,69.349998,24.156845,87.935028
9,1.200681,68.500000,19.558874,83.294662
10,1.468787,63.739998,36.725407,93.271461
11,1.006237,71.939995,6.278446,58.004639
12,1.135070,69.930000,20.947601,81.206497
13,1.297595,68.209999,15.509395,80.742455
14,1.267125,68.589996,19.477184,77.494194
15,1.723831,64.229996,19.663904,82.830627
16,1.494386,67.979996,32.360836,92.111366
17,1.540635,67.470001,27.447777,88.399071
18,1.628590,67.959999,34.543121,93.271461
19,1.552851,69.379997,24.495274,81.670532
20,1.403069,70.619995,20.049013,74.709976
21,1.817919,67.549995,28.941534,90.719254
22,2.004619,65.150002,32.956005,85.846863
23,1.832599,67.489998,30.692030,90.023201
24,1.939118,67.189995,26.875948,86.078880
25,1.852900,67.000000,35.885166,90.951271
26,1.811455,69.009995,25.977360,85.614845
27,2.055264,67.299995,49.550705,95.591644
28,1.667579,71.269997,39.316139,94.431549
29,1.929143,70.809998,44.532619,95.823662
30,1.745435,72.119995,36.830437,91.183289
31,1.683965,70.439995,23.526667,77.958237
32,1.632846,72.169998,37.950752,82.830627
33,2.022982,69.580002,31.625628,87.935028
34,1.850517,71.419998,38.896019,92.807419
35,1.598354,71.949997,30.843739,85.614845
36,1.830467,70.479996,31.940716,87.935028
37,1.754108,70.400002,21.881199,72.621811
38,1.734179,72.089996,35.044930,86.078880
39,1.638040,73.619995,28.533085,83.294662
40,1.681497,74.379997,35.208309,88.631088
41,1.660001,74.680000,34.531452,87.703011
42,1.655481,75.290001,35.056599,88.399071
43,1.685219,75.369995,38.090794,90.719254
44,1.653609,75.470001,35.651768,88.631088
45,1.693211,75.379997,36.328625,90.487236
46,1.612856,75.559998,33.539501,88.631088
47,1.671058,75.589996,35.931847,90.023201
48,1.658675,75.830002,36.293617,89.327141
49,1.676325,75.459999,37.052166,90.951271
50,1.637814,75.500000,35.138290,89.095123
51,1.644217,75.479996,35.593418,89.559158
52,1.648265,75.599998,35.990196,89.327141
53,1.651556,75.369995,35.838486,89.327141
54,1.613658,75.500000,34.589802,88.631088
55,1.672459,75.669998,37.192204,90.023201
56,1.622715,75.479996,34.671490,89.559158
57,1.688100,75.459999,38.020771,91.647331
58,1.626891,75.509995,34.928230,89.559158
59,1.641152,75.610001,36.036877,89.559158
60,1.635018,75.489998,36.386978,90.255219
61,1.603830,75.610001,35.114948,89.559158
62,1.650059,75.409996,36.270275,90.951271
63,1.620230,75.489998,35.640099,89.327141
64,1.636056,75.439995,36.760414,91.415314
65,1.607282,75.479996,35.593418,89.791183
66,1.598034,75.459999,35.056599,88.863106
67,1.602545,75.540001,35.441708,90.023201
68,1.612955,75.529999,35.896839,90.023201
69,1.621799,75.320000,37.495625,90.951271
70,1.585425,75.509995,35.955189,90.487236
71,1.550328,75.519997,33.819584,88.399071
72,1.603958,75.459999,36.783756,90.255219
73,1.613388,75.330002,37.087173,91.415314
74,1.625650,75.449997,38.919361,91.647331
75,1.563906,75.529999,34.741508,89.095123
76,1.551878,75.650002,35.161629,89.327141
77,1.571390,75.610001,36.281948,90.951271
78,1.533141,75.709999,34.718170,88.631088
79,1.544948,75.709999,34.881550,88.863106
80,1.555412,75.559998,35.418369,90.255219
81,1.564096,75.570000,36.305286,90.951271
82,1.594746,75.409996,37.950752,91.647331
83,1.558170,75.559998,35.663437,89.559158
84,1.575811,75.409996,36.421986,90.951271
85,1.533665,75.610001,33.889603,89.095123
86,1.563109,75.449997,36.351967,91.183289
87,1.546911,75.589996,35.313339,89.559158
88,1.559901,75.489998,35.663437,89.791183
89,1.614604,75.349998,38.919361,92.343384
90,1.558100,75.519997,35.780136,90.719254
91,1.550197,75.529999,35.523399,89.559158
92,1.562475,75.489998,36.060219,90.951271
93,1.563169,75.339996,35.978527,90.719254
94,1.574181,75.470001,36.585365,91.183289
95,1.554114,75.330002,35.535069,90.023201
96,1.568148,75.459999,36.702065,90.487236
97,1.565472,75.389999,36.340298,90.719254
98,1.532304,75.570000,34.869881,89.791183
99,1.583554,75.430000,37.880733,91.183289
