loss,auc,asr,nasr
0,69.317730,10.000000,100.000000,100.000000
0,1.607990,46.539997,8.394411,27.238806
1,1.241992,55.739998,9.963353,59.701492
2,1.163097,59.459999,5.531379,55.970146
3,1.059413,62.779999,4.306001,55.223881
4,1.069439,63.519997,4.924416,58.208954
5,1.129385,65.559998,12.345396,85.447762
6,0.937061,69.650002,8.967018,75.373131
7,0.914100,69.949997,5.176363,70.522385
8,0.977402,70.459999,17.830967,79.104477
9,0.849250,73.180000,9.642694,72.388062
10,0.942501,72.699997,9.413651,75.746269
11,0.875121,74.049995,9.276225,67.164177
12,1.251661,66.489998,5.726065,72.761192
13,1.387640,67.409996,27.439304,94.402985
14,1.067558,72.900002,13.238663,86.194031
15,1.407038,66.669998,13.662392,83.582085
16,1.081486,72.489998,6.939991,64.552238
17,1.353758,69.879997,20.132845,85.074623
18,1.166454,72.720001,15.036647,78.731339
19,1.233567,72.750000,10.879524,79.104477
20,1.493734,69.639999,13.295923,79.104477
21,1.421837,70.589996,13.799817,76.119400
22,1.640062,69.769997,22.572149,85.820892
23,1.411911,70.860001,6.653687,65.298508
24,1.273463,73.150002,11.646816,77.238808
25,1.534809,70.989998,16.239120,83.208954
26,1.545949,71.959999,24.667889,86.940300
27,1.447342,74.180000,17.224005,86.940300
28,1.481505,72.209999,14.338067,77.238808
29,1.774092,70.939995,29.592304,91.044777
30,1.632126,71.790001,28.767752,94.029846
31,1.570968,71.759995,10.409986,73.134323
32,1.656006,73.110001,21.152084,92.164177
33,1.416290,74.659996,13.696748,75.373131
34,1.491634,73.439995,15.277142,78.358208
35,1.564927,73.449997,15.437471,84.328354
36,1.700162,72.739998,23.431059,87.313431
37,1.433274,74.549995,6.768209,64.552238
38,1.858001,72.080002,29.821346,97.014923
39,1.932628,69.360001,17.052221,85.820892
40,1.688463,71.909996,12.288136,77.611938
41,1.657801,72.040001,16.777370,82.462685
42,1.784568,69.869995,18.037106,83.208954
43,1.629697,73.360001,27.301878,90.671638
44,1.644999,73.979996,20.888685,87.686562
45,1.608304,74.659996,19.972515,87.686562
46,1.492670,75.919998,18.976179,83.208954
47,1.474138,76.080002,18.403574,86.194031
48,1.441290,76.779999,16.078791,83.208954
49,1.426674,76.939995,15.975721,81.343285
50,1.447660,76.830002,16.628492,84.328354
51,1.444703,76.860001,16.617041,82.462685
52,1.419940,76.879997,15.529089,81.716415
53,1.450852,76.799995,17.109482,85.074623
54,1.347910,77.269997,13.547870,70.895523
55,1.410766,76.989998,16.422356,83.208954
56,1.423917,76.919998,16.525423,84.701492
57,1.422493,76.750000,16.468163,84.328354
58,1.425084,76.860001,16.181860,84.701492
59,1.398838,77.049995,15.242785,82.835815
60,1.408344,76.849998,15.746679,84.328354
61,1.430969,76.860001,16.960606,85.447762
62,1.407174,76.909996,16.193312,85.074623
63,1.422992,76.750000,17.040770,85.074623
64,1.384630,76.989998,15.620706,83.582085
65,1.395210,76.900002,16.571232,83.955223
66,1.400190,76.799995,17.143839,85.074623
67,1.374956,77.059998,16.158957,82.835815
68,1.393126,76.889999,16.880440,84.328354
69,1.377817,76.669998,16.032982,82.835815
70,1.366894,76.750000,15.884105,83.208954
71,1.385914,76.790001,16.834631,84.328354
72,1.368784,77.049995,16.456711,83.955223
73,1.386380,76.989998,17.029318,84.328354
74,1.355980,76.919998,16.113148,83.582085
75,1.354359,77.049995,16.170408,83.582085
76,1.331757,76.879997,15.242785,81.716415
77,1.360669,76.769997,17.292717,84.701492
78,1.349926,76.720001,16.674301,83.582085
79,1.350786,76.759995,16.158957,83.582085
80,1.350003,76.820000,16.456711,83.955223
81,1.358311,76.790001,16.994961,83.955223
82,1.333522,77.040001,15.758131,83.208954
83,1.354837,76.820000,17.109482,83.955223
84,1.354966,76.860001,16.926249,83.582085
85,1.344752,76.879997,16.250572,83.582085
86,1.346892,76.879997,16.743015,83.582085
87,1.336566,76.869995,16.433807,83.208954
88,1.344390,76.900002,16.525423,83.955223
89,1.342291,76.809998,16.571232,83.582085
90,1.353059,76.639999,16.994961,83.955223
91,1.338922,76.869995,16.525423,83.208954
92,1.344755,76.989998,16.502520,83.582085
93,1.354260,76.879997,17.304169,84.328354
94,1.357950,76.839996,17.533211,84.701492
95,1.357652,76.779999,17.201099,84.328354
96,1.357978,76.820000,17.258360,85.447762
97,1.334928,76.790001,16.262026,83.582085
98,1.328531,77.000000,16.158957,82.835815
99,1.337191,76.790001,16.273478,83.582085
