loss,auc,asr,nasr
0,15.923326,9.990000,0.000000,0.000000
0,1.392923,50.619999,9.707277,20.728292
1,1.176989,57.349998,2.406572,6.442577
2,1.078181,61.160000,0.682633,1.960784
3,1.103694,63.099998,8.804813,20.168068
4,0.884244,68.889999,5.391646,13.445378
5,0.883008,69.360001,3.297466,7.843138
6,0.915953,68.750000,2.510702,7.563025
7,0.825105,72.389999,6.629642,21.008404
8,0.771500,74.299995,5.414787,10.084034
9,0.905129,70.110001,1.966910,4.201681
10,1.103492,67.439995,5.761889,15.126051
11,0.927990,71.259995,14.231170,32.773109
12,1.037508,68.610001,13.687377,26.610645
13,1.064660,68.290001,20.490570,38.095238
14,0.946315,71.479996,10.852714,17.366947
15,0.943726,72.680000,20.120329,24.649860
16,1.099281,69.509995,38.227467,36.414566
17,1.127440,70.970001,33.101933,35.574230
18,1.610314,65.839996,22.619461,16.806723
19,1.349207,67.820000,67.360870,53.501400
20,1.322702,68.799995,49.496704,33.893559
21,1.187685,71.610001,60.025455,41.456585
22,1.405722,69.459999,56.311466,39.495800
23,1.226854,71.809998,58.764320,33.893559
24,1.171773,72.259995,72.960777,50.980392
25,1.432265,69.470001,72.405418,43.697479
26,1.280715,72.549995,79.787109,55.462185
27,1.570016,68.879997,79.347450,60.504204
28,1.297897,71.599998,81.337502,56.582634
29,1.486378,69.229996,68.136063,36.134453
30,1.227661,73.509995,63.727875,28.291317
31,1.349918,72.400002,58.741177,24.089636
32,1.340689,73.239998,75.957420,45.938377
33,1.425234,72.570000,82.610207,49.019608
34,1.627488,69.839996,83.963905,54.061626
35,1.561156,71.419998,88.649773,64.705887
36,1.401226,72.979996,87.238228,55.742298
37,1.412715,72.930000,78.283005,44.537815
38,1.297619,74.309998,87.469627,51.260506
39,1.393026,73.939995,84.611824,56.582634
40,1.559828,71.650002,88.615067,63.305325
41,1.631602,70.849998,90.581978,61.344540
42,1.861181,68.250000,80.365616,42.577030
43,1.393470,73.549995,74.534309,40.896358
44,1.435662,73.180000,88.915886,60.224091
45,1.503600,71.830002,91.796829,59.103642
46,1.365487,74.589996,75.737595,38.095238
47,1.497761,73.070000,88.267967,54.621849
48,1.369934,74.129997,90.605118,57.142857
49,1.367406,74.879997,90.107605,56.582634
50,1.355588,75.199997,89.459679,57.142857
51,1.309226,76.019997,86.196922,51.540619
52,1.362694,75.290001,90.211731,59.383755
53,1.310334,75.949997,88.626633,53.781513
54,1.306877,76.000000,89.262985,54.061626
55,1.306851,75.979996,89.170425,55.462185
56,1.304712,76.049995,89.598518,56.862747
57,1.305725,75.989998,89.424973,56.302521
58,1.285549,76.080002,88.777046,53.221291
59,1.305035,75.919998,89.482819,54.621849
60,1.290056,75.959999,88.777046,53.501400
61,1.297554,75.900002,89.841492,55.182076
62,1.282458,76.110001,89.147285,53.501400
63,1.296185,75.919998,89.644798,56.302521
64,1.288253,76.070000,89.598518,56.302521
65,1.294522,75.949997,89.598518,54.901962
66,1.269692,76.080002,88.707626,53.781513
67,1.274806,75.959999,89.309265,54.341740
68,1.299733,75.689995,90.570404,58.543419
69,1.278423,75.970001,89.274559,54.901962
70,1.263778,76.040001,89.482819,55.182076
71,1.267158,75.979996,89.343979,55.462185
72,1.286097,75.659996,90.477844,57.703083
73,1.268188,75.919998,89.806778,56.862747
74,1.255333,75.930000,88.950600,54.341740
75,1.265388,75.989998,89.482819,55.742298
76,1.263662,75.820000,89.853058,56.302521
77,1.232857,75.919998,88.302673,53.501400
78,1.256584,75.720001,89.829918,55.742298
79,1.239159,76.019997,88.823326,54.061626
80,1.248647,75.790001,89.517532,55.182076
81,1.254518,75.939995,89.783638,56.862747
82,1.239777,75.860001,89.135719,52.941177
83,1.237595,76.029999,89.228279,54.621849
84,1.235668,75.979996,88.858040,52.941177
85,1.251106,75.739998,89.864632,56.862747
86,1.248442,75.799995,89.413399,56.582634
87,1.261348,75.779999,90.258011,57.703083
88,1.247550,75.659996,89.864632,55.742298
89,1.239147,75.939995,89.540672,55.742298
90,1.263078,75.769997,90.339005,58.543419
91,1.253271,75.820000,89.910912,56.582634
92,1.247234,75.680000,89.887772,56.862747
93,1.244750,75.949997,89.783638,56.302521
94,1.251074,75.769997,89.922485,57.983196
95,1.239745,75.949997,89.332405,55.182076
96,1.234766,75.919998,89.181999,54.621849
97,1.244148,75.949997,89.876198,56.862747
98,1.239013,76.189995,89.702652,54.901962
99,1.221851,75.970001,88.615067,52.380955
