loss,auc,asr,nasr
0,57.300506,10.000000,0.000000,0.000000
0,1.738237,40.829998,37.981270,77.207977
1,1.110459,60.879997,3.827032,38.746437
2,1.194581,58.320000,15.065325,74.928772
3,1.127647,62.750000,8.370910,71.225067
4,1.048331,65.839996,5.746329,70.370369
5,1.042117,65.930000,1.745867,53.561253
6,1.176194,61.539997,4.185455,59.544159
7,1.058803,68.970001,11.538906,82.621078
8,0.909291,73.009995,8.683084,69.800568
9,1.126193,65.939995,7.573130,62.108261
10,1.288260,64.820000,21.644119,87.179489
11,1.175880,67.269997,12.718233,68.660965
12,1.266305,68.129997,17.539600,82.621078
13,1.482659,65.729996,20.603537,87.464386
14,1.458727,68.549995,35.911667,93.162392
15,1.730313,62.719997,21.967857,90.313393
16,1.330181,70.809998,26.534859,90.313393
17,1.572534,65.830002,18.302694,73.504272
18,1.650298,67.119995,29.760666,92.022789
19,1.254741,73.099998,14.001618,72.364670
20,1.439387,70.610001,23.644352,87.749290
21,1.828906,67.659996,22.569082,87.179489
22,1.277891,72.500000,19.852005,71.225067
23,1.566188,71.500000,29.575672,86.894585
24,1.833218,67.470001,22.222221,83.190880
25,1.569981,71.849998,32.466179,92.022789
26,1.737572,69.320000,22.950630,80.911682
27,1.673602,70.229996,33.402706,88.319084
28,1.591359,71.930000,20.256676,79.772079
29,1.519494,72.229996,19.852005,77.207977
30,1.610183,72.989998,30.385015,90.313393
31,1.667026,72.540001,26.477049,83.760681
32,1.621731,71.979996,20.302925,83.760681
33,1.746364,71.580002,31.171232,87.464386
34,1.808153,71.239998,27.043589,89.743591
35,1.636706,72.250000,25.286160,84.900284
36,1.925437,70.180000,36.316338,90.028488
37,1.587129,73.239998,24.846802,76.923073
38,1.568005,73.529999,21.551624,79.202278
39,2.013973,69.549995,26.430801,87.179489
40,1.817518,72.860001,28.974447,90.598289
41,1.621921,73.889999,21.227886,84.330482
42,1.863319,72.059998,24.523066,85.470085
43,1.708980,74.479996,25.124290,86.039886
44,1.540095,75.650002,23.933401,84.615387
45,1.597814,75.900002,25.864262,86.609688
46,1.566544,75.860001,25.101168,86.324783
47,1.554440,75.779999,24.095270,84.330482
48,1.543131,76.150002,24.118395,84.615387
49,1.590919,75.799995,27.136084,87.179489
50,1.569330,75.759995,26.176435,86.609688
51,1.556214,75.869995,25.309284,86.324783
52,1.552185,75.949997,25.124290,86.039886
53,1.564097,75.699997,26.245808,86.324783
54,1.557505,75.739998,26.650478,86.609688
55,1.576995,75.860001,27.587004,89.173790
56,1.518362,76.089996,24.661810,85.754982
57,1.579042,75.759995,27.852930,88.603989
58,1.534425,75.830002,25.274597,86.894585
59,1.534656,75.720001,26.153313,87.749290
60,1.544326,75.790001,26.465487,87.464386
61,1.521185,75.779999,25.448029,86.609688
62,1.536301,75.750000,26.465487,87.464386
63,1.522136,75.809998,25.436466,85.470085
64,1.525559,75.790001,26.627356,87.179489
65,1.518015,75.639999,26.234245,88.319084
66,1.504376,75.799995,25.956757,86.609688
67,1.514486,75.639999,25.818012,88.034187
68,1.509200,75.769997,25.910509,87.464386
69,1.510804,75.699997,26.095501,87.749290
70,1.483128,75.639999,25.193663,86.894585
71,1.477718,75.869995,24.777430,86.039886
72,1.502395,75.439995,27.644814,88.603989
73,1.490960,75.709999,26.442362,87.464386
74,1.519018,75.470001,28.974447,89.173790
75,1.485743,75.570000,26.187998,86.894585
76,1.457285,75.689995,24.904613,85.754982
77,1.455926,75.610001,24.904613,85.185188
78,1.452397,75.699997,25.563648,85.754982
79,1.448263,75.650002,25.078043,86.039886
80,1.450180,75.830002,24.904613,86.609688
81,1.462860,75.629997,25.702393,86.039886
82,1.483728,75.659996,27.367325,88.034187
83,1.465280,75.860001,25.725517,86.609688
84,1.471831,75.860001,26.130188,86.609688
85,1.440490,75.949997,23.817781,85.185188
86,1.460784,75.739998,25.644583,86.609688
87,1.441985,75.879997,24.650248,85.185188
88,1.454398,75.839996,25.066481,86.039886
89,1.495002,75.529999,27.413572,88.034187
90,1.455982,75.739998,25.378656,86.324783
91,1.447042,75.729996,24.939299,85.754982
92,1.463174,75.599998,25.679268,86.609688
93,1.462388,75.779999,25.413342,86.039886
94,1.477059,75.779999,26.407677,88.034187
95,1.473157,75.599998,26.141750,87.179489
96,1.472915,75.509995,26.685165,87.179489
97,1.463308,75.720001,25.806452,86.894585
98,1.436346,75.849998,24.638685,85.185188
99,1.472582,75.680000,27.425135,87.179489
