loss,auc,asr,nasr
0,15.923326,9.990000,0.000000,0.000000
0,1.391991,50.719997,8.810830,45.707657
1,1.209472,57.289997,4.189520,35.266819
2,1.203761,58.259998,4.773019,68.445473
3,1.021024,66.099998,7.445443,75.870064
4,1.073237,65.389999,10.059517,78.654289
5,1.025632,67.169998,7.585483,73.781898
6,1.038294,69.099998,19.605555,84.222733
7,1.066188,70.229996,18.053448,87.703011
8,1.292469,68.169998,34.799862,96.751740
9,1.025019,72.139999,19.815615,83.062645
10,1.367333,67.909996,33.364452,93.503479
11,1.168224,69.489998,21.869530,80.974472
12,1.356035,68.389999,26.665888,93.039436
13,1.387459,69.169998,32.570896,90.023201
14,1.396104,67.720001,29.723421,92.343384
15,1.134180,72.360001,16.419653,76.798141
16,1.755734,68.189995,48.173649,97.215775
17,1.768342,65.119995,42.362003,92.575401
18,1.557103,69.119995,33.574512,89.095123
19,1.457692,69.500000,21.869530,81.206497
20,1.776867,69.470001,46.329792,96.287697
21,1.550403,70.040001,28.976543,82.366585
22,1.635088,71.369995,31.987396,88.167053
23,1.490374,71.699997,28.007936,82.134567
24,1.561585,71.559998,30.085192,87.703011
25,1.572163,71.290001,24.261875,80.974472
26,1.868642,69.000000,33.912941,92.343384
27,2.047771,67.169998,35.371689,90.023201
28,2.247479,67.459999,41.253357,95.591644
29,1.713861,71.250000,31.824017,87.703011
30,1.682256,70.389999,25.837320,81.902550
31,1.959506,70.360001,42.105263,95.823662
32,1.780194,71.070000,34.764851,92.343384
33,1.967156,68.449997,31.345549,88.863106
34,1.669546,71.779999,25.708950,82.366585
35,1.998468,70.779999,36.001865,90.487236
36,1.617027,72.669998,29.058233,87.006958
37,1.704467,71.949997,21.916210,81.902550
38,2.229279,71.059998,43.400631,96.287697
39,2.017680,70.759995,39.747929,94.895592
40,1.900741,71.430000,33.936283,90.255219
41,2.157217,69.849998,37.892403,94.431549
42,2.103652,67.169998,20.224064,75.406029
43,2.268531,69.369995,38.067451,90.487236
44,1.877212,70.629997,27.774536,86.774940
45,1.900365,70.629997,38.464233,92.807419
46,1.813379,71.739998,23.456646,81.438515
47,1.940652,71.570000,38.195824,94.199532
48,1.774077,72.970001,31.217178,89.327141
49,1.723408,73.080002,28.579763,89.095123
50,1.908115,71.729996,33.247753,92.343384
51,1.815881,72.729996,29.466682,87.238976
52,1.755393,73.759995,32.419186,88.863106
53,1.743120,74.599998,32.512547,90.487236
54,1.720379,74.629997,31.205509,89.095123
55,1.739313,74.629997,32.290817,90.023201
56,1.739633,74.599998,34.706501,91.415314
57,1.869095,74.180000,37.145523,93.503479
58,1.741873,74.529999,32.069088,91.183289
59,1.728740,74.680000,31.882366,90.951271
60,1.740203,74.610001,32.535885,91.647331
61,1.731959,74.519997,33.271095,91.647331
62,1.710303,74.659996,32.897655,90.255219
63,1.716511,74.650002,33.481152,91.415314
64,1.711156,74.529999,33.352783,91.183289
65,1.683504,74.599998,32.687595,90.719254
66,1.696006,74.540001,32.267475,91.415314
67,1.672446,74.669998,31.742327,90.487236
68,1.663539,74.650002,32.407516,90.255219
69,1.633351,74.639999,30.505310,88.863106
70,1.676399,74.639999,32.909325,90.719254
71,1.690046,74.489998,33.236084,91.647331
72,1.658696,74.540001,31.882366,90.487236
73,1.653344,74.570000,32.465866,90.487236
74,1.605310,74.659996,30.201891,88.631088
75,1.632378,74.519997,31.753998,90.487236
76,1.650151,74.360001,33.084373,91.183289
77,1.628695,74.549995,32.991013,91.183289
78,1.606471,74.639999,31.555607,89.327141
79,1.624139,74.470001,31.777336,90.719254
80,1.614741,74.610001,31.345549,90.255219
81,1.606649,74.619995,31.403898,90.023201
82,1.601642,74.599998,31.275528,90.255219
83,1.626944,74.549995,32.162445,90.255219
84,1.621891,74.400002,31.987396,91.183289
85,1.616972,74.489998,32.220795,90.719254
86,1.624547,74.419998,32.080757,90.951271
87,1.598044,74.580002,31.543938,89.559158
88,1.620010,74.559998,31.964056,90.951271
89,1.618447,74.470001,31.613956,90.719254
90,1.644775,74.519997,33.387794,91.183289
91,1.612932,74.509995,31.940716,90.487236
92,1.631784,74.459999,32.780956,90.951271
93,1.622041,74.439995,32.290817,91.183289
94,1.630433,74.419998,32.897655,91.183289
95,1.609380,74.529999,31.742327,90.487236
96,1.580068,74.589996,30.820398,89.095123
97,1.635947,74.459999,33.364452,91.415314
98,1.591603,74.580002,31.217178,89.559158
99,1.594001,74.589996,31.380558,89.791183
